[Sun Oct 21 03:15:02 2012] [notice] Apache/2.2.16 (Debian) PHP/5.3.3-7+squeeze13 with Suhosin-Patch configured -- resuming normal operations
[Mon Oct 22 03:02:23 2012] [error] [client 107.0.80.234] client sent HTTP/1.1 request without hostname (see RFC2616 section 14.23): /w00tw00t.at.ISC.SANS.DFind:)
[Mon Oct 22 04:45:57 2012] [error] [client 24.245.41.236] PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:20:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 17:42:58 2012] [error] [client 82.171.166.51] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:01:14 2012] [error] [client 205.215.222.135] PHP Notice:  Undefined index: auth in /var/www/apply/review.php on line 5
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:03:36 2012] [error] [client 205.215.222.135] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:50:57 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:03 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:51:24 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 19:52:07 2012] [error] [client 71.234.24.46] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:41:51 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:42:01 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:42:01 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_store_result() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 15, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:42:01 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_num_rows() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 16, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:42:01 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 17, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 20:42:01 2012] [error] [client 24.30.30.251] PHP Warning:  mysqli_stmt_execute() expects parameter 1 to be mysqli_stmt, boolean given in /var/www/apply/functions/user.php on line 14, referer: http://www.minecartrapidtransit.net/apply/apply.php
